Ticker, Quantity, Price, Date, Transaction Type
NVDA, 1, 62.2994, 2020-03-27, SOLD
SHOP, 2, 42.761, 2020-03-27, SOLD
SPOT, 1, 124.4, 2020-03-30, BOUGHT
MA, 1, 241.123, 2020-03-30, BOUGHT
MCD, 1, 152.3, 2020-03-30, BOUGHT
ADBE, 1, 308.89, 2020-03-30, BOUGHT
AEO, 1, 7.55428, 2020-03-31, BOUGHT
UL, 1, 44.8028, 2020-03-31, BOUGHT
CSCO, 1, 35.9761, 2020-03-31, BOUGHT
JPM, 1, 82.6952, 2020-03-31, BOUGHT
HMC, 2, 20.7748, 2020-03-31, SOLD
TSLA, 1, 33.6, 2020-04-01, BOUGHT
TM, 1, 118, 2020-04-01, BOUGHT
JNJ, 1, 116.335, 2020-04-01, BOUGHT
UBER, 1, 26.5, 2020-04-01, BOUGHT
PTON, 1, 26.44, 2020-04-01, SOLD
NKE, 3, 76.804, 2020-04-01, SOLD
GOOGL, 1, 56.2, 2020-04-01, SOLD
CL, 5, 59.599, 2020-04-01, SOLD
HSY, 3, 119.895, 2020-04-01, SOLD
PINS, 2, 14.6, 2020-04-01, SOLD
LOGI, 4, 40.7159, 2020-04-01, SOLD
AMD, 2, 44.18, 2020-04-01, SOLD
AXP, 1, 76.7709, 2020-04-01, SOLD
ADBE, 1, 307, 2020-04-01, SOLD
CSCO, 3, 34.219, 2020-04-01, SOLD
SPOT, 1, 120.69, 2020-04-02, BOUGHT
DIS, 1, 94.2, 2020-04-02, BOUGHT
SBUX, 1, 61.2478, 2020-04-02, BOUGHT
PG, 1, 98.7549, 2020-04-02, BOUGHT
SBUX, 1, 61.2478, 2020-04-02, SOLD
CROX, 1, 15.5, 2020-04-03, BOUGHT
AMZN, 1, 95.5575, 2020-04-03, BOUGHT
AAPL, 1, 59.3543, 2020-04-03, BOUGHT
NKE, 1, 76.6784, 2020-04-03, BOUGHT
ADDYY, 1, 103.41, 2020-04-06, BOUGHT
GOOGL, 1, 56.65, 2020-04-06, BOUGHT
AEO, 1, 6.62395, 2020-04-06, BOUGHT
TSLA, 1, 34.08, 2020-04-06, BOUGHT
ZM, 1, 118.005, 2020-04-07, BOUGHT
DAL, 1, 25.1572, 2020-04-07, BOUGHT
LUV, 1, 33.12, 2020-04-07, BOUGHT
NVDA, 1, 69.1025, 2020-04-07, BOUGHT
CRM, 1, 146.3, 2020-04-08, BOUGHT
HMC, 1, 20.6163, 2020-04-08, BOUGHT
CMG, 1, 709.21, 2020-04-08, BOUGHT
PINS, 1, 16.57, 2020-04-08, BOUGHT
CROX, 1, 19.33, 2020-04-08, SOLD
AAPL, 1, 64.2288, 2020-04-08, SOLD
NKE, 1, 81.838, 2020-04-08, SOLD
GOOGL, 1, 60.155, 2020-04-08, SOLD
DIS, 1, 100.53, 2020-04-08, SOLD
COST, 1, 289.595, 2020-04-08, SOLD
NVDA, 1, 65.6412, 2020-04-08, SOLD
SHOP, 1, 42.251, 2020-04-09, BOUGHT
AMD, 1, 49.65, 2020-04-09, BOUGHT
AXP, 1, 90.5406, 2020-04-09, BOUGHT
MA, 1, 270.258, 2020-04-09, BOUGHT
MCD, 1, 168.702, 2020-04-13, BOUGHT
JPM, 1, 93.5938, 2020-04-13, BOUGHT
MAR, 1, 80.4173, 2020-04-13, BOUGHT
HLT, 1, 68.0866, 2020-04-13, BOUGHT
AMZN, 1, 102, 2020-04-13, SOLD
DAL, 1, 24.9276, 2020-04-13, SOLD
AEO, 6, 8.97769, 2020-04-13, SOLD
HMC, 1, 20.6536, 2020-04-13, SOLD
PINS, 1, 16.76, 2020-04-13, SOLD
AMD, 1, 48.47, 2020-04-13, SOLD
AXP, 1, 89.2963, 2020-04-13, SOLD
MA, 2, 263.45, 2020-04-13, SOLD
HD, 1, 185.814, 2020-04-14, BOUGHT
FDX, 1, 119.293, 2020-04-14, BOUGHT
MMM, 1, 129.631, 2020-04-14, BOUGHT
PHG, 1, 39.2912, 2020-04-14, BOUGHT
ADDYY, 1, 118.271, 2020-04-14, SOLD
LUV, 1, 34.4217, 2020-04-14, SOLD
JPM, 2, 91.6967, 2020-04-14, SOLD
FL, 1, 19.9093, 2020-04-15, BOUGHT
KO, 1, 43.1551, 2020-04-15, BOUGHT
MSFT, 1, 165.761, 2020-04-15, BOUGHT
V, 1, 164.678, 2020-04-15, BOUGHT
CRM, 1, 155.08, 2020-04-15, SOLD
CMG, 2, 757.72, 2020-04-15, SOLD
MCD, 3, 165.063, 2020-04-15, SOLD
UL, 5, 45.7823, 2020-04-15, SOLD
TM, 3, 124.06, 2020-04-15, SOLD
HD, 1, 182.859, 2020-04-15, SOLD
UBER, 2, 26.82, 2020-04-15, SOLD
LVMUY, 1, 70.4021, 2020-04-16, BOUGHT
UBSFY, 1, 14.79, 2020-04-16, BOUGHT
NFLX, 1, 437, 2020-04-16, BOUGHT
NTDOY, 1, 10.826, 2020-04-16, BOUGHT
TGT, 4, 99.7208, 2020-04-16, SOLD
TSLA, 2, 47.796, 2020-04-16, SOLD
ADDYY, 1, 115.44, 2020-04-17, BOUGHT
DIS, 1, 106.21, 2020-04-17, BOUGHT
DAL, 1, 24.0994, 2020-04-17, BOUGHT
LUV, 1, 31.8085, 2020-04-17, BOUGHT
ZM, 1, 147.91, 2020-04-17, SOLD
AEO, 1, 8.12178, 2020-04-20, BOUGHT
HMC, 1, 20.9148, 2020-04-20, BOUGHT
BAMXF, 1, 43.6263, 2020-04-20, BOUGHT
POAHY, 1, 3.96449, 2020-04-20, BOUGHT
SPOT, 2, 140.69, 2020-04-20, SOLD
